"user_id","channel_id","event_key","active","last_notified_occurrence_ms"
"797306622568431657","1501304144139653193","battle phase","true",""
"797306622568431657","1501304144139653193","bear 1","true",""
"797306622568431657","1501304144139653193","bear 2","true",""
"797306622568431657","1501304144139653193","internal castle","true",""
"797306622568431657","1501304144139653193","kvk castle","true",""
"730461247178408033","1501304144139653193","battle phase","true",""
"730461247178408033","1501304144139653193","bear 1","true",""
"730461247178408033","1501304144139653193","bear 2","true",""
"730461247178408033","1501304144139653193","internal castle","true",""
"730461247178408033","1501304144139653193","kvk castle","true",""
"1413600499608981548","1501304144139653193","battle phase","true",""
"1413600499608981548","1501304144139653193","bear 1","true",""
"1413600499608981548","1501304144139653193","bear 2","true",""
"1413600499608981548","1501304144139653193","internal castle","true",""
"1413600499608981548","1501304144139653193","kvk castle","true",""
"505238893260439574","1501304144139653193","battle phase","true",""
"505238893260439574","1501304144139653193","bear 1","true",""
"505238893260439574","1501304144139653193","bear 2","true",""
"505238893260439574","1501304144139653193","internal castle","true",""
"505238893260439574","1501304144139653193","kvk castle","true",""
"1434203462941278418","1501304144139653193","battle phase","true",""
"1434203462941278418","1501304144139653193","bear 1","true",""
"1434203462941278418","1501304144139653193","bear 2","true",""
"1434203462941278418","1501304144139653193","internal castle","true",""
"1434203462941278418","1501304144139653193","kvk castle","true",""
"1379081578029776956","1501304144139653193","battle phase","true",""
"1379081578029776956","1501304144139653193","bear 1","true",""
"1379081578029776956","1501304144139653193","bear 2","true",""
"1379081578029776956","1501304144139653193","internal castle","true",""
"1379081578029776956","1501304144139653193","kvk castle","true",""
"1180471733568938054","1501304144139653193","battle phase","true",""
"1180471733568938054","1501304144139653193","bear 1","true",""
"1180471733568938054","1501304144139653193","bear 2","true",""
"1180471733568938054","1501304144139653193","internal castle","true",""
"1180471733568938054","1501304144139653193","kvk castle","true",""
"806793208260329474","1501304144139653193","battle phase","true",""
"806793208260329474","1501304144139653193","bear 1","true",""
"806793208260329474","1501304144139653193","bear 2","true",""
"806793208260329474","1501304144139653193","internal castle","true",""
"806793208260329474","1501304144139653193","kvk castle","true",""
"1363547076318855371","1501304144139653193","battle phase","true",""
"1363547076318855371","1501304144139653193","bear 1","true",""
"1363547076318855371","1501304144139653193","bear 2","true",""
"1363547076318855371","1501304144139653193","internal castle","true",""
"1363547076318855371","1501304144139653193","kvk castle","true",""
